ministry,adoption_date,role,leadership_score,budget_allocation,policy_intensity
환경부,2020-10-01,주도부처,10,1000,10
산업통상자원부,2020-11-15,산업전환,9,800,9
국토교통부,2020-12-01,건축교통,8,700,8
기획재정부,2020-10-15,예산총괄,9,500,7
과학기술정보통신부,2020-11-01,기술혁신,8,600,8
농림축산식품부,2021-01-15,농업부문,7,400,7
해양수산부,2021-01-20,해양부문,7,350,6
외교부,2020-12-15,국제협력,6,200,5
중소벤처기업부,2021-02-01,중소기업,6,300,6
고용노동부,2021-03-01,녹색일자리,5,250,5
교육부,2021-02-15,인재양성,5,200,4
보건복지부,2021-04-01,건강영향,4,150,4
통일부,2021-05-01,남북협력,3,100,3
문화체육관광부,2021-04-15,문화전환,4,120,3
여성가족부,2021-05-15,기후정의,3,80,3
법무부,2021-06-01,법제정비,3,50,2
행정안전부,2021-03-15,지자체지원,5,200,5
국방부,2021-07-01,국방탄소,2,100,2
국가보훈부,2021-08-01,보훈시설,1,30,1
