source,target,relationship_type,influence_strength,start_date,collaboration_projects
환경부,산업통상자원부,정책협력,9,2020-10-15,15
환경부,국토교통부,정책협력,8,2020-11-01,12
환경부,기획재정부,예산협의,9,2020-10-01,8
환경부,과학기술정보통신부,기술지원,8,2020-10-20,10
환경부,농림축산식품부,부문별정책,7,2020-12-15,8
환경부,해양수산부,부문별정책,7,2020-12-20,7
산업통상자원부,중소벤처기업부,산업지원,8,2021-01-15,9
산업통상자원부,과학기술정보통신부,기술개발,9,2020-11-20,11
산업통상자원부,고용노동부,일자리전환,6,2021-02-15,6
국토교통부,행정안전부,지자체협력,7,2021-03-01,8
국토교통부,산업통상자원부,건설산업,7,2020-12-10,7
기획재정부,산업통상자원부,예산지원,8,2020-11-01,6
기획재정부,국토교통부,예산지원,7,2020-12-05,5
기획재정부,과학기술정보통신부,R&D예산,8,2020-11-10,7
과학기술정보통신부,교육부,인재양성,6,2021-02-01,5
과학기술정보통신부,중소벤처기업부,기술이전,7,2021-01-20,6
외교부,환경부,국제협상,7,2020-11-01,9
외교부,산업통상자원부,통상협력,6,2020-12-20,4
고용노동부,교육부,직업훈련,5,2021-03-01,4
교육부,과학기술정보통신부,교육과정,6,2021-02-10,5
보건복지부,환경부,건강영향평가,5,2021-03-15,3
문화체육관광부,환경부,문화콘텐츠,4,2021-04-10,2
여성가족부,고용노동부,공정전환,4,2021-05-01,2
법무부,환경부,법제지원,4,2021-05-15,3
행정안전부,환경부,지자체지원,6,2021-03-10,5
통일부,환경부,남북협력,3,2021-04-20,2
국방부,산업통상자원부,에너지안보,3,2021-06-15,2
